NOTES,item_id,name,descr,price_cents,size_score,art_score,link,image_name,last_checked,brand,claimant_id,claim_state,display
,24,Pearl Platter,"This is a beautiful platter for showing off our many little items, or serving some homemade biscuits.",13900,3.7,9.2,https://www.fazeek.co/products/pearl-plater-amber-lilac?variant=44828635791648&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=21901240037&gbraid=0AAAAApkkbG8BbFJPuMauEKtqNPqtfbWje&gclid=Cj0KCQjwrPHABhCIARIsAFW2XBO2n-hesTvaJ7-nyqKKdjcxF4p6Vy6L3e02E_LdPyjlVSbStHD8nr0aArOBEALw_wcB,pearl_platter.png,5/12/2025,Fazeek,"""""",UNCLAIMED,TRUE
,45,5-Piece Dinnerware Set,Felt+Fat is a ceramics shop out of Philly that we've admired for some time. We are obsessed with their confetti glaze - how could we not be? This five piece set includes two plates and three bowls.,20200,1.3,6.3,https://www.feltandfat.com/products/5-piece-set-in-confetti,dinnerware_confetti.png,5/12/2025,Felt+Fat,"""""",UNCLAIMED,TRUE
,34,Framebridge Gift Card,"We take a lot of pride in framing our art - both art that was bought and art that was made. We have been going to framebridge for a while now, and a giftcard would go a long way towards all our future framings! A medium framing typically runs us about $200, which is the price we've marked.",20000,-9.5,-4.1,https://www.framebridge.com/products/framebridge-gift-card?srsltid=AfmBOopictT0MRRVcbtYjdmqUHI7pFfJRaP2yOaSUxXLTi1Qn7W6O4i6,framebridge_gift_card.png,5/12/2025,Framebridge,"""""",UNCLAIMED,TRUE
,27,Stainless Steel Cookware Set,"This eight piece set includes saucepans skillets, universal lids and a stockpot (anyone want some gumbo?) This brand has gotten notice for having high quality stainless steel without unnessesary frills, which is exactly what our kitchen needs.",22500,5.9,-6.2,https://cookgoldilocks.com/products/cookware-set-plus,steel_cookware_set.png,5/12/2025,Goldilocks,"""""",UNCLAIMED,TRUE
,28,Big Colander,"This is a 4-1 device. Of course, it is a colander. But because it scrunches down as well, it can be used as a splash guard, a trivet AND a steamer (huge news!). As well, because it scrunches down, it will be wicked easy to store.",5000,-2.3,-0.9,https://greatjonesgoods.com/products/big-steam,big_colander.png,5/12/2025,Great Jones,"""""",UNCLAIMED,TRUE
,17,Electric Kettle,"A home is not a home without an electric kettle. Mitzi has felt this way since she moved in, but has refrained from purchasing an electric kettle so that we could get one together, for our wedding!",22500,0.6,2.4,https://greatjonesgoods.com/products/great-fellow-blueberry?variant=41326818918479&country=US&currency=USD&utm_source=google&utm_medium=cpc&utm_campaign=21115298528&utm_content=162969582871&utm_term=&gad_source=1&gad_campaignid=21115298528&gbraid=0AAAAAC_Emfu5xSmpl6idhLUrgaVk6f6Jh&gclid=Cj0KCQjwrPHABhCIARIsAFW2XBNAOEWJ7mQMt30qoGua892gr936W-uX89WFtN80RTpPHX11rhFwHKYaAlLjEALw_wcB,electric_kettle.png,5/12/2025,Great Jones,"""""",UNCLAIMED,TRUE
,18,Heart-shapped Cake Pan,"What's there to say? This is just adorable. Lookout for heart-shaped cakes, coming to birthday parties near you!",3500,-0.2,3.1,https://greatjonesgoods.com/products/sweetheart,heart_cake_pan.png,5/12/2025,Great Jones,"""""",UNCLAIMED,TRUE
,52,Little Sheet Rainbow,"We have a sort of small oven, so we need sort of small sheet pans. These pans from Great Jones are cute and functional - as well as a perfect fit in our oven.",11500,-2.6,2.9,https://greatjonesgoods.com/products/little-sheet-rainbow-set,sheet_pan_set.png,5/12/2025,Great Jones,"""""",UNCLAIMED,TRUE
,46,Metal Book Stand,"We are a household of readers and cookbook enthusiasts. A simple book stand like this is great for adventures in cooking, displaying our favorite coffee table books, and holding up an especially tough passage.",1800,-3.1,-0.8,https://littleking.online/collections/home-office/products/metal-book-stand,book_stand.png,5/12/2025,Hightide,"""""",UNCLAIMED,TRUE
,51,Hyllis Shelf Unit,"Picture this: we are frantically running around the apartment with measuring tape trying to figure out where we can squeeze an extra foot or two of storage out of our unused corners and walls. Well, we found a cute Ikea shelf unit that will work perfectly in our narrow hallway.",2499,9.7,-9.3,https://www.ikea.com/us/en/p/hyllis-shelf-unit-indoor-outdoor-00278578/,hyllis_shelf_unit.png,5/12/2025,Ikea,"""""",UNCLAIMED,TRUE
,54,Enamled Cast Iron Deep Sautee Pan,"Enamled cast iron is such a beautiful luxurious material to cook on, and we can't wait to make everyone a beautiful dish with this deep sautee pan in Nectar. ",36800,3.3,3.9,https://www.williams-sonoma.com/products/le-creuset-signature-deep-saute-pan/,deep_sautee_pan.png,5/12/2025,Le Creuset,"""""",UNCLAIMED,TRUE
,55,Enamled Cast Iron French Oven,This 2/5 Qt french oven in Lapis anchors our blue aspect. Enamled cast iron is a real dream.,15995,3.1,4.3,https://www.williams-sonoma.com/products/le-creuset-cast-iron-stew-pot/,french_oven.png,5/12/2025,Le Crueset,"""""",UNCLAIMED,TRUE
,31,Cast Iron Griddle,"Thank goodness for gas ranges! We don't have a lot of good things to say about the appliances in our kitchen.. but thank goodness for a gas range, because it means we can use items like this! A cast iron griddle will definitely be more useful for the meat eaters in our home, but we can also perfect our veggie burger techniques here.",4990,4.7,-4.2,https://www.webstaurantstore.com/lodge-lpg13-20-x-10-1-2-x-3-4-pre-seasoned-cast-iron-reversible-griddle-and-grill-pan/530LPGI3.html?utm_source=shopzilla&utm_medium=cpc&utm_campaign=content&cnxclid=17433651050400160612514511195008005&utm_content=17433651050400160612514511195008005,cast_iron_griddle.png,5/12/2025,Lodge,"""""",UNCLAIMED,TRUE
,9,Cast Iron Candle Stand,It's giving Ebeneezer Scrooge in a nightgown. Perfect for walking around the house also with a candle.,8600,-4.2,7.1,https://www.loq.us/products/cast-iron-candle-holder,cast_iron_candle_holder.png,5/12/2025,LoQ,"""""",UNCLAIMED,TRUE
CURRENTLY SOLD OUT,8,Oil Bottle,"This glass oil bottle is really cool, we think. It's a nice artful piece, that does it's one thing (pours oil) and does it well!",4500,-0.5,1.2,https://www.loq.us/products/oil-bottle-by-ichendorf-milano,glass_oil_bottle.png,3/30/2025,LoQ x Ichendorf Milano,"""""",UNCLAIMED,FALSE
,33,Toolbox,"Currently, our toolbox is exploding out it's fabric bag. We believe that a home needs tools to fix it! Good thing we have probably all the tools we need. A fancy-pants box to hold it all would be nice, too!",6999,2,-4.1,https://www.lowes.com/pd/Beta-C19-17-72-in-Orange-Steel-Lockable-Tool-Box/5014971071,toolbox.png,5/12/2025,Lowe's,"""""",UNCLAIMED,TRUE
,35,Adjustable Mandoline Slicer,"We like to cook veggies, prepare salads, make big shaves of parmesian - all things that will be greatly aided by a mandoline. ",3999,-8.6,-8.2,https://microplane.com/products/adjustable-v-blade-mandoline-vegetable-slicer?_pos=2&_sid=2e71e1f2b&_ss=r,mandoline.png,5/12/2025,Microplane,"""""",UNCLAIMED,TRUE
,36,Dual Blade Zester & Grater,"Mitzi loves lemons - that's no secret. While she is more than happy to eat the rind, for the rest of us, we want to zest it first.",2299,-9.8,-7.7,https://microplane.com/products/dual-blade-zester-30th-anniversary-edition-stainless-steel-multi-use-zester-grater-for-citrus-cheese-chocolate,zester_grater.png,5/12/2025,Microplane,"""""",UNCLAIMED,TRUE
,41,Moccamaster KBGV Select,"Have you ever had a cup of coffee from our house? Up until now we have been pretty austere in our brewing set up. We are extremely excited to graduate from our Mr Coffee to a real machine - ideally, in the colorway Pistachio!",35900,5.5,1.1,https://us.moccamaster.com/collections/glass-carafe-brewers/products/kbgv-select?variant=40374980280483,moccamaster.png,5/12/2025,Moccamaster,"""""",UNCLAIMED,TRUE
,15,Two-Way Side Table,"This endtable from the MOMA Design Store is versitile in that it can go normally or on it's side - perfect for a modular approach to a small apartment. Plus, the opaque color to the table helps it stand out while better meshing with the space around it.",19500,7.8,5.7,https://store.moma.org/collections/gifts-under-250/products/two-way-side-table-blue-aqua,moma_side_table.png,5/12/2025,MOMA Design Store,"""""",UNCLAIMED,TRUE
,38,Ninja Blast Portable Blender,Our New York life on-the-go involves drinking our nutrition sometimes! A solid portable blender is our big solution to this. ,8999,0.8,-5.7,https://www.ninjakitchen.com/products/ninja-blast-max-cordless-portable-blender-sea-glass-zidBC251MT,ninja_blender.png,5/12/2025,Ninja,"""""",UNCLAIMED,TRUE
,37,Ninja Creami Ice Cream Maker,We have been obsessed with the idea of an ice cream maker as soon as Mitzi first put flavored protein powder into a bowl of greek yogurt. Can you even imagine all the possibilities?,19999,2.1,-6.8,https://www.ninjakitchen.com/products/ninja-creami-7-in-1-ice-cream-maker-zidNC301CB,ninja_creami.png,5/12/2025,Ninja,"""""",UNCLAIMED,TRUE
,6,Plant Stand and Planter,"This store sells funky, colorful, candy-like 3D printed objects for around the house. We have their side table, and I'm still obsessed with the brand!",5500,3.1,7.2,https://objectlover.com/products/saddle-up-gift-set-plant-stand-planter-drainage-tray,object_lover_planter.png,5/12/2025,Object Lover,"""""",UNCLAIMED,TRUE
,49,Phillips Hue Bulb,"We really love being able to customize our space, and we find that these lights are very helpful :)",7999,-5.5,-1.1,https://www.philips-hue.com/en-us/p/hue-white-and-color-ambiance-a19-e26-smart-bulb-60-w-3-pack/046677562786,smart_bulbs.png,5/12/2025,Phillips Hue,"""""",UNCLAIMED,TRUE
,11,Glass Tissue Case,"In a sea of fun pops of color, your eyes may actually need a break. Especially if those eyes are full of cat allergies. This tissue box is a clean and simple design.",6800,0.7,3.4,https://puebco.us/products/glass-tissue-case-compact?utm_source=google&utm_medium=cse&utm_term=41862789759073&variant=41862789759073&gPromoCode=RETIRED&gQT=1,glass_tissue_case.png,5/12/2025,Puebco,"""""",UNCLAIMED,TRUE
CURRENTLY SOLD OUT,5,Tile Mug,"This is a beautiful handmade mug from an artist Mitzi has been following for a while. Even cooler: on their instagram page you can watch some of the process of creating this ""tiled"" effect.",10900,-1.3,4.9,https://redactedceramics.com/products/preorder-full-wrap-around-tile-mug,,5/12/2025,Redacted Ceramics,"""""",UNCLAIMED,FALSE
,47,NTG5 Shotgun Mic,We think audio is one of the most important parts of a film!,49900,0.9,-5.1,https://rode.com/en-us/microphones/shotgun/ntg5?srsltid=AfmBOoo25r4Mw27u5QAZfmm7ZkirJhpmW7zfdguTJEvPPY6SNMV41__M,shotgun_mic.png,5/12/2025,Rode,"""""",UNCLAIMED,TRUE
,39,Ceramic Pie Dish,"We are not yet the couple that makes pies. But YOU could be the one to change everything for us. Buy us this and we will make you a pie. If that pie flops, we will try and try again!",3999,3.2,5.1,https://www.webstaurantstore.com/staub-9-round-cherry-ceramic-pie-dish-1014856/68B1014856.html?utm_source=google&utm_medium=cpc&gbraid=0AAAAAD_Dx-sTXyQVla-ei7L8achzMSoSk&gclid=CjwKCAjwz_bABhAGEiwAm-P8YT89MsMaq9sEeASm5fqSq5NC0tTWRX-_ae2U19Uj06SOGg7oELgM6hoCh2UQAvD_BwE,pie_dish.ong,5/12/2025,Staub,"""""",UNCLAIMED,TRUE
,12,Triangle Speakers,"These are really nice speakers! The sound quality would be an upgrade. They add a lot of bass which is nice becasue we cannot have a subwoofer in an apt. They are very pretty also, so just generally a nice piece of furniture.",250000,4.1,-0.9,https://trianglehifi.us/products/enceinte-bibliotheque-hi-fi-anniversaire-40th-comete-paire,triangle_speakers.png,5/12/2025,Triangle Hifi,"""""",UNCLAIMED,TRUE
,19,Zigzap Floor Lamp,"This is so cute right? And very space efficient, too! We love a little lamp, especially when paired with a smart light bulb, and touches of whimsy are what make a home so amazing.",24900,6.9,8.8,https://www.westelm.com/products/zig-zag-floor-lamp-h12174/,zigzag_lamp.png,5/12/2025,West Elm,"""""",UNCLAIMED,TRUE
,50,6x6' Scrim Jim Cine Kit,Bounce your light around! This does that. For movies and stuff!,49990,8.1,-7.2,https://www.bhphotovideo.com/c/product/1220033-REG/westcott_1895_n_6x6_scrim_jim_cine.html/overview,jim_cine_kit.png,5/12/2025,Westcott,"""""",UNCLAIMED,TRUE
,32,Egg Poacher,"The key to a happy marriage is a perfectly poached egg - that's the saying, right? This is a cute set of two egg poachers. So we can both have one for breakfast, together!",2295,-7.2,1.2,https://www.williams-sonoma.com/products/williams-sonoma-egg-poacher-set-of-2/?catalogId=79&sku=9020338&cm_ven=PLA&cm_cat=Google&cm_pla=Cooks%27%20Tools%20%3E%20Breakfast%20%26%20Egg%20Tools&cm_ite=9020338_14571727833_aud-2176313358905:pla-1418851097901&gad_source=1&gclid=CjwKCAjw-qi_BhBxEiwAkxvbkMZ9Al4g9Ggx84P_WNW01t27h0-Xud3Hylt-Bo7wn1TH3UkLzk8SdxoCZLcQAvD_BwE,egg_poacher.png,5/12/2025,Williams Sonoma,"""""",UNCLAIMED,TRUE
,29,Weck Jar Set,"This is a set of six self sealing jars, for making jams and fermenting stuff, etc. Image having some overnight oats in one of these cute jars! It has a much easier mouth to navigate hand cleaning.",3995,-5.8,-3.7,https://www.williams-sonoma.com/products/weck-mold-jars/?catalogId=79&sku=8829897&cm_ven=afshoppromo&cm_cat=10078&cm_pla=ir&%20Canning%20Jars&region_id=669950&cm_ite=nymag.com%2Fstrategist&gclid=Cj0KCQiAutyfBhCMARIsAMgcRJRcZsrUxiurlsJEwU6sDdd5PjIqskKq8ElVIcfzTKnYIorpwoiu0IgaAqCzEALw_wcB&clickid=wC2wH30ckxycTCpzVLzuGSXhUks3-K25Wwo%3AUM0&irgwc=1&irpid=10078,weck_jars.png,5/12/2025,Williams Sonoma,"""""",UNCLAIMED,TRUE
,21,Allium Lamp,"**note that we want amber, and that if you are in new york, you can do local pickup instead of shipping",12500,-1,7.6,https://wooj.design/products/allium-lamp-x-christopher-merchant?pr_prod_strat=e5_desc&pr_rec_id=c4fcbbb05&pr_rec_pid=7201410547770&pr_ref_pid=7376242671674&pr_seq=uniform,allium_lamp.png,5/12/2025,Wooj,"""""",UNCLAIMED,TRUE
,20,Mini Allium Lamp,"**note that we want amber, and that if you are in new york, you can do local pickup instead of shipping",8900,-1.8,6.9,https://wooj.design/products/mini-allium-lamp-x-christopher-merchant?variant=40766408687674,mini_allium_lamp.png,5/12/2025,Wooj,"""""",UNCLAIMED,TRUE
,7,Abstract Throw Pillow,"I (Mitzi) have been following interior decorater Dani Klaric since she was just an Instagram Reels girl, and this was her first big collab! We love the color in this throw, and I love the idea of being a part of someone's journey like that!",17000,5.1,9.2,https://www.yayaandco.com/products/bellows-organic-cotton-abstract-throw-pillow,yayaco_throw.png,5/12/2025,Yaya & Co x Dani Klaric,"""""",UNCLAIMED,TRUE
,42,Big Ceramic Fruit Bowl,"Do you do ceramics? Can you make a big bowl? We would be honored to recieve a handmade fruit bowl from a friend. Hopefully, this would have a diameter of roughly 10-14"". Preferably, it would be really colorful! And dont forget to sign and date it!",0,4.8,6.8,,diy.png,,You!,"""""",UNCLAIMED,TRUE
,43,Medium Sized Glass Sculpture,"Do you blow glass? Can you make an item that would be fun to display? It would be so awesome to have a glass item from a friend to display in our home. This doesn't need to have a function at all - just art for art's sake! Ideally, it is smaller than a microwave.",0,3.8,9.8,,diy.png,,You!,"""""",UNCLAIMED,TRUE
,44,Glass Carafe,"Do you blow glass? We see plenty of glass water carafes online, and they all seem very nice. But what would be amazing would be a carafe made by a friend. This would be artsy for sure, though remain functional in that it can hold and pour water. If possible, it can be corked or stoppered.",0,2.1,7.1,,diy.png,,You!,"""""",UNCLAIMED,TRUE
,48,H6 Essential 32-Bit Audio Recorder,We lost this device recently and would love to replace it,29999,-0.9,-4.9,https://www.bhphotovideo.com/c/product/1805576-REG/zoom_h6essential_32_bit_float.html,audio_recorder.png,5/12/2025,Zoom,"""""",UNCLAIMED,TRUE
,,3 Tier Storage,This sleek but functional yellow storage cabinet will be an amazing upgrade to our current filling cabinet.,35500,3.7,4.7,https://store.moma.org/products/kartell-bio-componibili-3-tier-storage-yellow?gad_source=1&gad_campaignid=17191350656&gbraid=0AAAAAD9gvK0ulMxUZWMY9nhkhiPm_8fnb&gclid=Cj0KCQjwlYHBBhD9ARIsALRu09rlIuaidN8-AdUl7jlgjFVCMxpWhIvO4XM2ukMu9cL8YmlKGEd-408aAjknEALw_wcB,tier_storage.png,5/12/2025,MOMA Design Store,"""""",UNCLAIMED,TRUE
